title,ingredients,instructions,ing_clean
dilly macaroni salad recipe,"['1 c. elbow macaroni', '1 c. cubed American cheese (4 ounce.)', '1/2 c. sliced celery', '1/2 c. minced green pepper', '3 tbsp. minced pimento', '1/2 c. mayonnaise or possibly salad dressing', '1 tbsp. vinegar', '3/4 teaspoon salt', '1/2 teaspoon dry dill weed']","['Cook macaroni according to package directions; drain well.', 'Cold.', 'Combine macaroni, cheese cubes, celery, green pepper and pimento.', 'Blend together mayonnaise or possibly salad dressing, vinegar, salt and dill weed; add in to macaroni mix.', 'Toss lightly.', 'Cover and refrigeratewell.', 'Serve salad in lettuce lined bowl if you like.', 'Makes 6 servings.']","elbow, pepper, mayonnaise, vinegar, salt, dill, weed"
gazpacho,"['8 tomatoes, quartered', 'Kosher salt', '1 red onion, cut into small dice', '1 green bell pepper, cut into small dice', '1 red bell pepper, cut into small dice', '1 yellow bell pepper, cut into small dice', '1/2 cucumber, cut into small dice', 'Extra-virgin olive oil, for drizzling', '3 leaves fresh basil, finely chopped']","['Add the tomatoes to a food processor with a pinch of salt and puree until smooth.', 'Combine the onions, bell peppers and cucumbers with the tomato puree in a large bowl.', 'Chill at least 1 hour.', 'Drizzle with olive oil, garnish with chopped basil and serve.']","onion, bell, pepper, bell, pepper, bell, pepper, oil, basil"
crunchy onion potato bake,"['2 12 cups milk', '1 12 cups water', '14 cup butter', 'mashed potatoes, 1 box, homestyle', '1 (8 ounce) can whole kernel corn (drained)', '1 cup cheddar cheese', '1 cup French-fried onions']","['Preheat oven to 350 degrees Fahrenheit.', 'Spray pan with non stick cooking spray.', 'Heat milk, water and butter to boiling; stir in contents of both pouches of potatoes; let stand one minute.', 'Stir in corn.', 'Spoon half the potato mixture in pan.', 'Sprinkle half each of cheese and onions; top with remaining potatoes.', 'Sprinkle with remaining cheese and onions.', 'Bake 10 to 15 minutes until cheese is melted.', 'Enjoy !']","milk, water, butter, box, homestyle, Frenchfried, onions"
cool 'n easy creamy watermelon pie,"['1 (3 ounce) package watermelon gelatin', '14 cup boiling water', '1 (12 ounce) package Cool Whip, thawed', '2 cups cubed seedless watermelon', '1 graham cracker crust']","['Dissolve Jello in boiling water.', 'Allow to cool to room temp.', 'Whisk in Cool Whip.', 'Fold in watermelon.', 'Spoon into crust.', 'Chill for 2-3 hours or overnight.', 'Yum!']","water, package, Cool, Whip, seedless, watermelon"
strawberry rhubarb dump cake,"['6 -8 cups fresh rhubarb, or', '6 -8 cups frozen rhubarb, thawed', '1 12 cups granulated sugar', '6 ounces strawberry Jell-O gelatin dessert', '1 white cake mix (2 layer size)', '1 12 cups water', '12 cup butter or 12 cup margarine, melted']","['Put ingredients in a buttered 9 x 12 x 2-inch pan in even layers in the order that they are given - DO NOT MIX.', 'Bake in a 350 oven for 1 hour.']","rhubarb, frozen, rhubarb, sugar, JellO, dessert, water, butter"
yogurt parfaits,"['8 ounces, weight Light Fat Free Vanilla Yogurt (I Used Activia)', '1 cup Fresh Sliced Strawberries', '1/4 cups Low-fat Granola']",['Layer all ingredients in a serving dish.'],"Activia, Fresh, Sliced, Strawberries, Lowfat, Granola"
pink sangria,"['1 (750 ml) bottle rose wine, chilled', '14 cup brandy', '14 cup orange liqueur (Cointreau, Grand Marnier)', '2 cups white cranberry juice', '1 orange, sliced', '1 lemon, sliced', '355 ml Sprite (or other citrus flavoured soft drinks)', 'ice cube']","['In a pitcher, combine all the ingredients except the soft drink and ice cubes.', 'Refrigerate for 1 hour.', 'Add the soft drink and ice just before serving.']","ml, bottle, rose, wine, brandy, liqueur, Cointreau, Grand, Marnier, juice, Sprite, soft, drinks"
pineapple loaf,"['14 cup butter', '34 cup brown sugar', '1 egg', '13 cup orange juice concentrate', '1 tablespoon grated orange rind', '2 cups flour', '1 teaspoon baking soda', '12 teaspoon salt', '1 cup crushed pineapple with juice', '12 cup chopped pecans (optional)']","['Cream butter, sugar and egg.', 'Add orange juice and rind and mix well.', 'Sift flour, baking soda, and salt.', 'Add to creamed mixture and then stir in pineapple and pecans.', 'Pour into a greased 9"" by 5"" loaf pan.', 'Let stand while oven heats to 350 degrees.', 'Bake for 45 minutes.']","butter, brown, sugar, orange, rind, flour, baking, soda, salt, pineapple, pecans"
brown sugar 'karintou' snacks,"['200 grams Cake flour', '1 tsp Baking powder', '20 grams Sugar', '7 grams White sesame seeds', '70 ml Water', '20 cc Vegetable oil', '80 grams For candy coating: black sugar', '80 grams For candy coating: white sugar', '1/4 tsp For candy coating: soy sauce', '40 ml For candy coating: water']","['In a bowl, mix flour, baking powder, sugar, then add the sesame seeds, water, and vegetable oil and knead.', 'Once the dough is formed, wrap in plastic wrap and let rise for 30 minutes.', 'Roll out until it is 1 cm thick.', 'Then cut to 3 cm long and 1 cm wide strips.', 'Use your hands roll into tubes.', 'Deep fry in 160C oil for 10 to 15 minutes.', 'In a pan, combine the brown sugar, sugar, soy sauce, water and heat until it starts to bubble.', 'Once the large bubbles change to small bubbles, add the Step 5 karintou to coat.', 'Spread out on a baking sheet to prevent sticking.', ""They're done once they're dried.""]","Cake, flour, Baking, powder, Sugar, White, sesame, seeds, Water, Vegetable, oil"
corn casserole,"['1 can tomato sauce', '1 can corn', '1/2 lb (.2 kg) medium cheddar cheese', 'potatoes', '1 medium white onion, chopped', '1 lb (.5 kg). hamburger']","['Fry hamburger and onion together.', 'Peel and dice potatoes.', 'Boil until soft.', 'Mash potatoes.', 'Add corn to hamburger.', 'Add tomato sauce to hamburger.', 'In medium pan pour hamburger mixture.', 'Put mashed potatoes on top of hamburger.', 'Add grated cheese.', 'Bake in 350 degree (175 C.) oven until cheese melts.']","tomato, sauce, white, onion, hamburger"
harrison muesli,"['2 cups vanilla soy milk, divided', '1 cup frozen blueberries', '1 cup rolled oats', '1/2 cup sweetened flaked coconut', '1/2 cup chopped pecans', '1 cup vanilla yogurt']","['Blend 1 cup soy milk with blueberries in a blender until the mixture has the consistency of a smoothie, about 1 minute.', 'Stir together the oats, coconut, and pecans in a large bowl.', 'Stir in the blueberry mixture, yogurt, and the remaining soy milk.', 'Cover; refrigerate for at least 4 hours or up to overnight.']","vanilla, soy, milk, frozen, blueberries, rolled, oats, pecans, vanilla, yogurt"
